Vrsta dela,Naslov oglasa,Kraj,Placilo,Prosta mesta,Trajanje,Delovnik,Začetek dela
ZAHTEVNA ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,8. 9. 2025
DELO V PROIZVODNJI,Brez naslova,KIDRIČEVO,7.6,5,PO DOGOVORU,IZMENSKO,1. 9. 2025
INŠTRUKCIJE,Brez naslova,LJUBLJANA,13.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
RAČUNOVODSKA DELA,Brez naslova,RUŠE,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
STREŽBA,Brez naslova,CELJE,7.5,3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
STREŽBA,Brez naslova,LJUBLJANA,7.31,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ V KUHINJI,POMIVALEC,BLED,8.0,Brez podatka,PO DOGOVORU,IZMENSKO,Brez podatka
POMOČ V KUHINJI,Brez naslova,LJUBLJANA,6.8,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V TRGOVINI,BLAGAJNIK,CELJE,6.88,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
UČITELJ/ICA PLAVANJA,Brez naslova,KRANJ,13.5,5,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,8. 9. 2025
INŠTALACIJE,Brez naslova,TRBOVLJE,8.0,3,DO 25. 11. 2025,DOPOLDAN,Brez podatka
BLAGAJNIK,POLNJENJE POLIC IN BLAGAJNIK,LJUBLJANA,6.88,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
DELO NA BENCINSKEM SERVISU,Brez naslova,DOMŽALE,7.4,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO V TISKARNI,PAKIRANJE,MARIBOR,7.0,6,DO 31. 10. 2025,IZMENSKO,Brez podatka
ADMINISTRATIVNA DELA,Brez naslova,TRZIN,8.17,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO NA BENCINSKEM SERVISU,POMOČ V STREŽBI,KAMNIK,7.12,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
POMOČ V KUHINJI,PICOPEK,DOBROVA,9.0,3,PO DOGOVORU,IZMENSKO,Brez podatka
DELO NA TERENU,LAŽJA FIZIČNA DELA IN DELO NA TERENU,CELJE,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
ANKETIRANJE PO TELEFONU,Brez naslova,LJUBLJANA,12.91,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
ADMINISTRATIVNA DELA,ASISTENT/KA V KADROVSKI SLUŽBI,LJUBLJANA,6.88,Brez podatka,PO DOGOVORU,DOPOLDAN,Brez podatka
PROJEKTIRANJE,Brez naslova,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
LAŽJA FIZIČNA DELA,ČIŠČENJE NA GRADBIŠČU,LJUBLJANA,11.0,5,PO DOGOVORU,DOPOLDAN,Brez podatka
DELO S STRANKAMI,Brez naslova,CELJE,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
DELO V PROIZVODNJI,NADZOR NAD KAKOVOSTJO V PROIZVODNJI,ŠKOFLJICA,7.8,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POMOČ PRI PRODAJI,Brez naslova,LJUBLJANA,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DEKLARIRANJE,Brez naslova,LJUBLJANA,6.5,4,PO DOGOVORU,PO DOGOVORU,1. 9. 2025
BLAGAJNIK,POMOČ V TRGOVINI,TRBOVLJE,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO NA TERENU,POPISOVALEC,LJUBLJANA,7.73,2,DO 19. 9. 2025,DOPOLDAN,8. 9. 2025
DELO S STRANKAMI,FRIZERSKE STORITVE,LITIJA,8.0,Brez podatka,PO DOGOVORU,PO DOGOVORU,1. 9. 2025
DEKLARIRANJE,Brez naslova,LJUBLJANA,6.32,6,PO DOGOVORU,DOPOLDAN,Brez podatka
POMOČ V KUHINJI,RAZVOZ,MARIBOR,7.71,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
TRENER/KA,Brez naslova,GROSUPLJE,25.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
FIZIČNA DELA,SESTAVLJANJE,VRHNIKA,7.74,5,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
VODENJE,DELO V MUZEJU,KRANJ,8.15,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 10. 2025
POMOČ PRI PRODAJI,Brez naslova,LJUBLJANA,6.32,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
ASISTENT/KA,POUČEVANJE RAČUNALNIŠTVA,LJUBLJANA,7.75,2,PO DOGOVORU,DOPOLDAN,15. 9. 2025
DELO V FITNESU,DELO NA RECEPCIJI,BUKOVCI,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO V PROIZVODNJI,LAŽJA FIZIČNA DELA,STARI TRG PRI LOŽU,6.32,10,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
VADITELJ/ICA,DELO Z OTROKI,VRHNIKA,13.0,Brez podatka,DO MAJA 2026,POPOLDAN,18. 9. 2025
POMOČ V TRGOVINI,Brez naslova,LJUBLJANA,6.32,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
POMOČ V KUHINJI,DELJENJE OBROKOV,LJUBLJANA,7.25,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POMOČ PRI PRODAJI,Brez naslova,LJUBLJANA,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
VADITELJ/ICA,POUČEVANJE PLESA,MARIBOR,14.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,15. 9. 2025
HOSTES/A,Brez naslova,LJUBLJANA,9.0,3,PO DOGOVORU,MED VIKENDI,Brez podatka
TEŽJA FIZIČNA DELA,RAZTOVARJANJE,MARIBOR,8.61,3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
STREŽBA,Brez naslova,LJUBLJANA,9.0,3,PO DOGOVORU,MED VIKENDI,Brez podatka
STREŽBA,Brez naslova,FRAM,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,22. 9. 2025
STREŽBA HRANE IN PIJAČE,Brez naslova,LJUBLJANA,9.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
DELO NA STOJNICI,Brez naslova,LJUBLJANA,7.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,Brez podatka
DELO V SKLADIŠČU,Brez naslova,LJUBLJANA,6.88,2,CCA 1 MESEC,DOPOLDAN,1. 9. 2025
DELO NA RECEPCIJI,INFORMATOR/KA,LJUBLJANA,6.5,3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,3. 9. 2025
POSPEŠEVANJE PRODAJE,Brez naslova,LJUBLJANA,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
PORTIR/KA,Brez naslova,LJUBLJANA,10.33,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
POMOČ PRI PRODAJI,Brez naslova,KOPER,6.32,Brez podatka,PO DOGOVORU,IZMENSKO,Brez podatka
PRODAJA,UREJANJE TRGOVINE,KRANJ,7.6,10,"PO DOGOVORU, CCA 2 MESECA",IZMENSKO,Brez podatka
PRODAJA,UREJANJE TRGOVINE,LJUBLJANA,7.6,10,"PO DOGOVORU, CCA 2 MESECA",IZMENSKO,Brez podatka
BLAGAJNIK,POLNJENJE POLIC,KISOVEC,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V STREŽBI,Brez naslova,MARIBOR,7.5,Brez podatka,PO DOGOVORU,PO DOGOVORU,30. 8. 2025
DEKLARIRANJE,Brez naslova,LJUBLJANA,6.32,4,PO DOGOVORU,DOPOLDAN,Brez podatka
DELO V DELAVNICI,Brez naslova,LJUBLJANA,7.0,Brez podatka,PO DOGOVORU,DOPOLDAN,1. 9. 2025
STREŽBA HRANE IN PIJAČE,Brez naslova,KRANJSKA GORA,9.47,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
ANKETIRANJE,Brez naslova,POSTOJNA,9.88,5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
ANKETIRANJE,Brez naslova,NOVA GORICA,9.88,5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
ANKETIRANJE,Brez naslova,SEŽANA,9.88,5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
POMOČ V STREŽBI,DELO V KAVARNI,JESENICE,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POLNJENJE POLIC,POSPEŠEVANJE PRODAJE,KOPER,8.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POMOČ V TRGOVINI,POLNJENJE POLIC,LJUBLJANA,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
POMOČ V STREŽBI,Brez naslova,LJUBLJANA,8.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),MED VIKENDI,Brez podatka
POLNJENJE POLIC,POMOČ V TRGOVINI,LUBLJANA,8.61,3,PO DOGOVORU,IZMENSKO,Brez podatka
DELO V SKLADIŠČU,Brez naslova,LJUBLJANA,8.61,10,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
OBDELAVA PODATKOV,TEHNIČNO ADMINISTRATIVNA POMOČ,MARIBOR,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POMOČNIK VZGOJITELJA/VZGOJITELJICE,Brez naslova,KRANJ,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,29. 8. 2025
FIGURANT,POMOČNIK/CA GEODETA,LJUBLJANA,8.15,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
FIGURANT,POMOČNIK/CA GEODETA,LENDAVA,8.15,Brez podatka,DO 15. 11. 2025,DOPOLDAN,1. 9. 2025
POMOČ V STREŽBI,Brez naslova,LJUBLJANA,6.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
POMOČ V KUHINJI,POMIVALEC,PIRAN,8.5,Brez podatka,PO DOGOVORU,PO DOGOVORU,Brez podatka
POMOČ V STREŽBI,NATAKAR/ NATAKARICA,MARIBOR,6.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
DELO NA RECEPCIJI,DELO V FITNESU,LJUBLJANA,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,KOPER,7.5,3,PO DOGOVORU,IZMENSKO,1. 9. 2025
TAJNIŠKA DELA,OBDELAVA IN ODPREMA SPLETNIH NAROČIL,LJUBLJANA,8.17,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POMOČ V KUHINJI,PAKIRANJE,LJUBLJANA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
ZAHTEVNA ADMINISTRATIVNA DELA,FINANČNE STORITVE,LJUBLJANA,9.6,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
POSPEŠEVANJE PRODAJE,Brez naslova,PESNICA,9.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,22. 9. 2025
POMOČ V KUHINJI,POMIVALEC,LJUBLJANA,8.17,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
PROJEKTIRANJE,KONTROLA KAKOVOSTI V GRADBENIŠTVU,ŠEMPETER,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
SNEMANJE IN UREJANJE KRATKIH VIDEOV,OPRAVLJANJE INTERVJUJEV,LJUBLJANA,7.58,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,SEŽANA,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,Brez naslova,GROSUPLJE,8.11,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO NA TERENU,ELEKTRO DELA,SEŽANA,9.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
PRODAJA,Brez naslova,LJUBLJANA,6.32,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
ČIŠČENJE,ČIŠČENJE POSLOVNIH PROSTOROV,KIDRIČEVO,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
ADMINISTRATIVNA DELA,DELO S STRANKAMI,LJUBLJANA,7.31,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
ČIŠČENJE,SOBAR/ICA,GORIŠKA BRDA,12.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO NA RECEPCIJI,POMOČ V BOWLING CENTRU,LENART,8.0,4,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,15. 9. 2025
STREŽBA HRANE IN PIJAČE,Brez naslova,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
PROMOCIJA,Brez naslova,MARIBOR,15.0,5,PO DOGOVORU,PO DOGOVORU,Brez podatka
ČIŠČENJE,PRIPRAVA HRANE,PTUJ,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,10. 9. 2025
DELO NA RECEPCIJI,Brez naslova,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
ČIŠČENJE,DELO NA PLAŽI,IZOLA,7.99,Brez podatka,DO KONCA SEPTEMBRA,IZMENSKO,30. 8. 2025
KLICNI CENTER,Brez naslova,MARIBOR,7.14,5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,15. 9. 2025
KLICNI CENTER,Brez naslova,LJUBLJANA,7.14,5,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,15. 9. 2025
STREŽBA,Brez naslova,ŠENČUR,8.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
TEHNIČNA POMOČ,DELO NA TERENU,PO SLOVENIJI,6.5,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V KUHINJI,Brez naslova,ŠKOCJAN,7.5,Brez podatka,DO 9. 11. 2025,DOPOLDAN,1. 9. 2025
MARKETING,Brez naslova,KOMENDA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,15. 9. 2025
STREŽBA,Brez naslova,LJUBLJANA,9.47,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO V PROIZVODNJI,Brez naslova,KAMNIK,7.8,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
STREŽBA,DELO V KAVARNI,PTUJ,7.5,8,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO V SKLADIŠČU,PAKIRANJE,DOB,7.49,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
STREŽBA,Brez naslova,MARIBOR,10.0,10,30. 8. 2025,MED VIKENDI,30. 8. 2025
STREŽBA,Brez naslova,MARIBOR,7.5,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
PRODAJA,TELEKOMUNIKACIJSKE STORITVE,LJUBLJANA,18.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
STROJNIŠKA DELA,KONSTRUIRANJE,KOČEVJE,7.5,Brez podatka,PO DOGOVORU,DOPOLDAN,Brez podatka
STROJNIŠKA DELA,KONSTRUIRANJE,TRZIN,7.5,Brez podatka,PO DOGOVORU,DOPOLDAN,Brez podatka
STREŽBA HRANE IN PIJAČE,Brez naslova,HOTEDRŠICA,8.0,2,PO DOGOVORU,IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,KOBARID,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO NA BENCINSKEM SERVISU,Brez naslova,LJUBLJANA,8.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO V SKLADIŠČU,Brez naslova,BEGUNJE NA GORENJSKEM,7.87,2,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,8. 9. 2025
LAŽJA FIZIČNA DELA,DELO NA LETNEM BAZENU,PIRAN,7.31,3,POČITNIŠKO DELO,PO DOGOVORU,Brez podatka
STREŽBA,Brez naslova,DEKANI,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
POMOČ PRI PRODAJI,Brez naslova,KOPER,7.12,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO S STRANKAMI,Brez naslova,MARIBOR,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
DELO V PROIZVODNJI,OPERATER,KRANJ,6.32,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO NA BENCINSKEM SERVISU,Brez naslova,LJUBLJANA,9.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
DELO NA BENCINSKEM SERVISU,Brez naslova,KRANJ,9.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
DELO V SKLADIŠČU,Brez naslova,KRANJ,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
TRŽENJE,TELEFONSKO TRŽENJE,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
VADITELJ/ICA,Brez naslova,LJUBLJANA,12.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,15. 9. 2025
STREŽBA,BARMAN,LJUBLJANA,9.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
POUČEVANJE,Brez naslova,KRANJ,13.42,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POLNJENJE POLIC,SVETOVANJE PRI PRODAJI,LJUBLJANA,6.88,3,DO 31. 10. 2025,IZMENSKO,15. 9. 2025
DELO NA BENCINSKEM SERVISU,Brez naslova,DOMŽALE,7.12,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
ROČNA DELA,ŠIVANJE,MARIBOR,7.31,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
PRODAJA,Brez naslova,MARIBOR,7.31,2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,29. 8. 2025
SERVISIRANJE RAČUNALNIŠKE OPREME,Brez naslova,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
DELO S STRANKAMI,ADMINISTRATIVNA DELA,LJUBLJANA,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
ORGANIZACIJSKA DELA,PROMOCIJA,LJUBLJANA,8.61,2,PO DOGOVORU,POPOLDAN,Brez podatka
POUČEVANJE,Brez naslova,KOPER,10.0,4,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
POMOČ V TRGOVINI,SVETOVANJE PRI PRODAJI,LJUBLJANA,7.74,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
POLNJENJE POLIC,KONTROLA,LJUBLJANA,6.88,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
PAKIRANJE,PRIPRAVA HRANE,SLOVENSKE KONJICE,6.88,3,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POMOČ V TRGOVINI,DELO NA DELIKATESI,KRANJSKA GORA,12.05,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
ADMINISTRATIVNA DELA,Brez naslova,LJUBLJANA,7.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
POMOČ V TRGOVINI,DELO NA DELIKATESI,KRANJSKA GORA,12.05,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
ADMINISTRATIVNA DELA,KONTROLA KAKOVOSTI,LESKOVEC PRI KRŠKEM,6.45,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,15. 9. 2025
ADMINISTRATIVNA DELA,KLICNI CENTER,RIBNICA,6.32,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 10. 2025
ADMINISTRATIVNA DELA,KADROVSKA DELA,LJUBLJANA,7.06,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
DELO V ORDINACIJI,POMOČ V ZOBOZDRAVSTVENI ORDINACIJI,DOBROVA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POUČEVANJE,Brez naslova,KRANJ,13.42,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,1. 9. 2025
STREŽBA HRANE IN PIJAČE,Brez naslova,LJUBLJANA,7.92,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
LAŽJA FIZIČNA DELA,Brez naslova,GROSUPLJE,7.31,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
POMOČ V KUHINJI,PRIPRAVA HRANE,LJUBLJANA,7.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V PROIZVODNJI,Brez naslova,TRBOVLJE,6.32,Brez podatka,POČITNIŠKO DELO,IZMENSKO,Brez podatka
TRENER/KA,Brez naslova,DOL PRI LJUBLJANI,12.0,3,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
POMOČ UPORABNIKOM,UREJANJE EVIDENC,LJUBLJANA,9.0,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
RAČUNOVODSKA DELA,Brez naslova,GROSUPLJE,7.67,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,15. 9. 2025
STREŽBA,Brez naslova,KOPER,8.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,Brez podatka
DELO NA BENCINSKEM SERVISU,BLAGAJNIK,ŠENTILJ,7.42,2,PO DOGOVORU,PO DOGOVORU,Brez podatka
KOZMETIČNE STORITVE,Brez naslova,LJUBLJANA,10.0,Brez podatka,PO DOGOVORU,PO DOGOVORU,1. 9. 2025
STREŽBA HRANE IN PIJAČE,Brez naslova,MARIBOR,7.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
ZLAGANJE,POŠTNE STORITVE,MARIBOR,7.74,6,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,Brez podatka
DELO V PROIZVODNJI,Brez naslova,ŠKOFJA LOKA,9.0,4,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO V PROIZVODNJI,Brez naslova,DOMŽALE,7.5,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,1. 9. 2025
POMOČ V TRGOVINI,Brez naslova,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
MARKETING,Brez naslova,LJUBLJANA,6.5,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,Brez podatka
POMOČ V TRGOVINI,Brez naslova,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
VADITELJ/ICA,Brez naslova,LJUBLJANA,15.0,2,DLJE ČASA (ZAČ. IN OBČ. DELO),POPOLDAN,1. 9. 2025
POMOČ V TRGOVINI,Brez naslova,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
STREŽBA,BARISTA,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,1. 9. 2025
POMOČ V TRGOVINI,Brez naslova,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
BLAGAJNIK,Brez naslova,LJUBLJANA,7.74,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ V TRGOVINI,Brez naslova,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
DELO NA RECEPCIJI,Brez naslova,LJUBLJANA,7.5,4,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,4. 9. 2025
POMOČ V TRGOVINI,Brez naslova,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
POMOČ V TRGOVINI,Brez naslova,LJUBLJANA,8.61,Brez podatka,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,Brez podatka
